Nilai Pasar Agunan,DBR,plafon,Collateral Coverage,tenor,usia,jenis_pinjaman,alamat_kota,Penilaian Rekening Koran,tujuan_penggunaan,gaji(Penghasilan),pendidikan,sandi_pengikatan,Riwayat Slik,jenis_usaha,Restruktur,kualitas_kredit,risk_score
640000000.0,47.0,75000000.0,8.533333333333333,60.0,33.0,12,4,4,1,1,3,2,2,0,0,1,2
244000000.0,50.0,120000000.0,2.033333333333333,48.0,51.0,0,12,8,2,2,1,2,3,0,0,1,1
273000000.0,19.0,105000000.0,2.6,60.0,40.0,12,18,2,1,4,4,2,2,0,0,1,1
281000000.0,49.0,110000000.0,2.5545454545454547,60.0,35.0,12,0,4,1,2,2,4,2,0,0,1,1
479000000.0,49.0,200000000.0,2.395,60.0,47.0,12,1,8,1,4,2,2,2,0,0,1,1
346000000.0,43.0,120000000.0,2.8833333333333337,60.0,45.0,12,17,4,1,3,3,2,3,0,0,1,1
410000000.0,39.0,100000000.0,4.1,60.0,40.0,0,0,9,2,1,3,2,2,0,0,1,1
525000000.0,49.0,150000000.0,3.5,60.0,30.0,12,25,4,1,3,3,2,3,0,0,1,1
1841000000.0,77.08,210000000.0,8.766666666666667,48.0,62.0,14,26,8,1,5,3,2,2,6,0,1,1
427000000.0,50.0,140000000.0,3.05,60.0,34.0,0,4,2,1,4,2,2,3,0,0,1,1
896000000.0,50.0,240000000.0,3.733333333333333,48.0,26.0,12,1,6,1,4,3,2,2,0,0,1,1
1178000000.0,49.78,190000000.0,6.2,60.0,43.0,12,0,1,1,4,1,2,3,0,0,1,1
447000000.0,43.0,125000000.0,3.576,60.0,39.0,12,26,8,1,3,3,2,2,0,0,1,1
506000000.0,49.0,115000000.0,4.4,60.0,43.0,12,17,8,1,2,1,2,3,0,0,1,1
502000000.0,50.0,250000000.0,2.008,60.0,41.0,12,14,8,1,5,3,2,3,0,0,1,1
132000000.0,54.43,60000000.0,2.2,36.0,42.0,6,17,9,2,1,1,1,2,3,0,1,1
191484000.0,29.44,40000000.0,4.7871,36.0,45.0,4,17,0,2,1,1,2,1,0,0,1,2
185166000.0,33.41,30000000.0,6.1722,36.0,48.0,14,17,0,1,1,1,2,2,0,0,1,2
1828500000.0,63.45,330000000.0,5.540909090909091,84.0,29.0,14,17,8,1,3,3,1,2,3,0,1,1
321000000.0,39.2,120000000.0,2.675,60.0,40.0,12,25,2,1,3,3,2,3,0,0,1,1
