nomor_registrasi,jenis_kelamin,status_perkawinan,alamat_kota,jenis_pinjaman,tujuan_penggunaan,jenis_jaminan,sandi_pengikatan,Restruktur,jenis_pekerjaan,jenis_usaha,Lama Menikah,Riwayat Slik,Penilaian Rekening Koran,kualitas_kredit,gaji(Penghasilan),pendidikan,usia,tenor,jumlah_Pengajuan,jumlah_tanggungan,plafon,Nilai Pasar Agunan,LTV,Collateral Coverage,DBR
335,1,0,1,12,1,5,2,0,3,0,0,2,4,1,1,1,22,36,1,0,50000000.0,236000000.0,0.211864406779661,4.72,42.0
337,0,4,0,0,2,5,2,0,241,2,1,2,8,1,4,2,47,36,1,4,125000000.0,4630000000.0,0.026997840172786176,37.04,43.0
341,1,4,21,14,1,5,2,0,74,0,1,2,9,1,2,4,39,48,2,2,100000000.0,545796000.0,0.18321863846565384,5.45796,40.99
339,1,0,17,14,1,2,3,0,243,0,2,2,8,1,1,1,23,6,1,0,6000000.0,11000000.0,0.5454545454545454,1.8333333333333333,37.14
345,0,4,0,14,1,5,2,0,33,6,1,2,8,1,4,3,49,60,1,4,1000000000.0,2588300000.0,0.38635397751419853,2.5883,62.43
27,0,4,17,14,1,2,3,0,160,0,6,2,2,1,1,5,67,4,3,1,5000000.0,37000000.0,0.13513513513513514,7.4,29.59
350,1,3,21,14,1,5,4,0,94,0,5,3,8,1,2,3,52,30,1,2,140000000.0,330000000.0,0.42424242424242425,2.357142857142857,51.68
353,1,3,14,0,2,3,4,0,151,6,5,0,4,1,3,3,52,60,1,3,130000000.0,1993000000.0,0.06522829904666332,15.330769230769231,37.0
354,0,4,4,12,1,5,2,0,235,0,0,2,4,1,1,3,33,60,1,3,75000000.0,640000000.0,0.1171875,8.533333333333333,47.0
358,0,4,12,0,2,5,2,0,5,0,0,3,8,1,2,1,51,48,1,3,120000000.0,244000000.0,0.4918032786885246,2.033333333333333,50.0
357,0,4,18,12,1,5,2,0,126,0,1,2,2,1,4,4,40,60,1,3,105000000.0,273000000.0,0.38461538461538464,2.6,19.0
356,0,4,0,12,1,3,4,0,46,0,0,2,4,1,2,2,35,60,1,2,110000000.0,281000000.0,0.3914590747330961,2.5545454545454547,49.0
355,0,4,1,12,1,5,2,0,94,0,1,2,8,1,4,2,47,60,1,0,200000000.0,479000000.0,0.4175365344467641,2.395,49.0
360,0,4,17,12,1,5,2,0,168,0,1,3,4,1,3,3,45,60,1,4,120000000.0,346000000.0,0.3468208092485549,2.8833333333333333,43.0
362,1,4,0,0,2,5,2,0,94,0,1,2,9,1,1,3,40,60,1,1,100000000.0,410000000.0,0.24390243902439024,4.1,39.0
364,0,0,25,12,1,5,2,0,193,0,2,3,4,1,3,3,30,60,1,1,150000000.0,525000000.0,0.2857142857142857,3.5,49.0
231,0,4,26,14,1,0,2,0,174,6,6,2,8,1,5,3,62,48,3,1,210000000.0,1841000000.0,0.11406844106463879,8.766666666666667,77.08
366,0,4,4,0,1,5,2,0,118,0,3,3,2,1,4,2,34,60,1,1,140000000.0,427000000.0,0.32786885245901637,3.05,50.0
365,0,0,1,12,1,5,2,0,177,0,2,2,6,1,4,3,26,48,1,1,240000000.0,896000000.0,0.26785714285714285,3.7333333333333334,50.0
369,0,4,0,12,1,5,2,0,94,0,7,3,1,1,4,1,43,60,1,0,190000000.0,1178000000.0,0.16129032258064516,6.2,49.78
367,0,4,26,12,1,5,2,0,65,0,0,2,8,1,3,3,39,60,1,3,125000000.0,447000000.0,0.2796420581655481,3.576,43.0
371,0,4,17,12,1,5,2,0,191,0,1,3,8,1,2,1,43,60,1,3,115000000.0,506000000.0,0.22727272727272727,4.4,49.0
376,1,4,14,12,1,5,2,0,11,0,1,3,8,1,5,3,41,60,1,1,250000000.0,502000000.0,0.49800796812749004,2.008,50.0
34,1,4,17,6,2,2,1,0,218,3,1,2,9,1,1,1,42,36,1,3,60000000.0,132000000.0,0.45454545454545453,2.2,54.43
380,1,4,17,4,2,5,2,0,70,0,1,1,0,1,1,1,45,36,1,2,40000000.0,191484000.0,0.20889473794155125,4.7871,29.44
